in_holocene_study,Family,Feeding,Piscivore,Habit,Reef_associated,Cryptobenthic,Gross_habitat,harvested_archaeo,harvested_modern,harvested_combined,prey_of_harvested_fishes,Order,Class
Yes,Muraenidae,piscivore,Yes,demersal,Yes,Not cryptobenthic,Marine,Yes,No,Yes,No,Anguilliformes,Actinopterygii
No,Myliobatidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Myliobatiformes,Elasmobranchii
No,Narcinidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Torpediniformes,Elasmobranchii
No,Ophichthidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Anguilliformes,Actinopterygii
No,Osteichthyes,NA,NA,NA,NA,Not cryptobenthic,NA,NA,NA,NA,NA,NA,NA
No,Perciformes,NA,NA,NA,NA,Not cryptobenthic,NA,NA,NA,NA,NA,NA,NA
No,Percophidae,omnivore_carnivore,No,bathypelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Perciformes,Actinopterygii
No,Pleuronectidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
No,Plotosidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Siluriformes,Actinopterygii
No,Polymixiidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Polymixiiformes,Actinopterygii
No,Polynemidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
No,Pomacentridae Ab,planktivore,No,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Cichliformes,Actinopterygii
Yes,Priacanthidae,piscivore,Yes,demersal,Yes,Not cryptobenthic,Marine,No,No,No,No,Acanthuriformes,Actinopterygii
No,Pristigasteridae,planktivore,No,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Clupeiformes,Actinopterygii
No,Rachycentridae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
No,Rajiformes,NA,NA,NA,NA,Not cryptobenthic,NA,NA,NA,NA,NA,NA,NA
No,Rhinobatidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Rhinopristiformes,Elasmobranchii
Yes,Sciaenidae,piscivore,Yes,pelagic,No,Not cryptobenthic,Marine,Yes,Yes,Yes,No,Acanthuriformes,Actinopterygii
No,Scombridae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Scombriformes,Actinopterygii
No,Siluriformes,NA,NA,NA,NA,Not cryptobenthic,NA,NA,NA,NA,NA,NA,NA
Yes,Sparidae,omnivore_carnivore,No,demersal,Yes,Not cryptobenthic,Marine,Yes,Yes,Yes,No,Acanthuriformes,Actinopterygii
No,Sphyraenidae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
