Family,Species,Type,Locality,a,b
Carangidae,Caranx hippos,TL,Pernambuco / 2011-2014.,0.0126,2.97
Carangidae,Caranx hippos,TL,Couffo River/2018-2021,0.011,3.073
Carangidae,Caranx hippos,TL,Nokoué and Porto-Novo Lagoon / 2015-2016.,0.012,3.037
Carangidae,Caranx ignobilis,TL,Palawan / 1998-2014,0.024,2.8
Carangidae,Caranx ignobilis,TL,"Western Australia: Statewide, 2011-2016.",0.03325,2.7225
Carangidae,Caranx latus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0186,2.8563
Carangidae,Caranx latus,TL,Piraque-acu and Piraque-mirim rivers / 2008-2009.,0.0216,2.8
Carangidae,Caranx latus,TL,Pernambuco / 2011-2014.,0.0132,3.02
Carangidae,Caranx lugubris,TL,"Central coast, 1993-2000",0.0187,2.9
Carangidae,Caranx lugubris,TL,"Trindade Island / 2012, 2013.",0.0211,2.92
Carangidae,Caranx ruber,TL,Pernambuco / 2011-2014.,0.0197,2.86
Carangidae,Caranx sexfasciatus,TL,Barra de Navidad lagoon / 2002-2003,0.0136,2.98
Carangidae,Caranx sexfasciatus,TL,"Indus delta, northern Arabian Sea / 1999-2001.",0.0118,3.041
Carangidae,Caranx sexfasciatus,TL,"Java Sea, north of Madura Island / 2016-2016",0.02,2.878
Carapidae,Carapus mourlani,TL,NA,0.00144,3
Engraulidae,Cetengraulis edentulus,TL,"Ciénaga Grande de Santa Marta, 1982",0.00237,3.32
Engraulidae,Cetengraulis edentulus,TL,"Ciénaga Grande de Santa Marta, 1982",0.00121,3.45
Engraulidae,Cetengraulis edentulus,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.0029,3.48
Engraulidae,Cetengraulis edentulus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00275,3.526
Engraulidae,Cetengraulis edentulus,TL,"Paraná (0°S - 25°S), 2003-2004",0.00275,3.526
Engraulidae,Cetengraulis edentulus,TL,"Pará (0°S - 25°S), 2003-2004",0.00491,3.129
Engraulidae,Cetengraulis edentulus,TL,"Bragança Paulista, Pará, 1999-2001",0.0021,3.6296
Engraulidae,Cetengraulis edentulus,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.016,2.873
Engraulidae,Cetengraulis edentulus,TL,Parana´ state coast / 2004 - 2005,0.00427,3.18
